family,support_regime,method,pooled_r2,pooled_nrmse,median_entity_nrmse
polynomial,standard_11,gird_gn_lambda_0.1,0.9999650146093595,0.005914844937997449,0.008288739159343944
polynomial,standard_11,gird_gn_lambda_inf,0.9997461004459849,0.015934225868084788,0.021759788203532422
polynomial,standard_11,gird_gn_selected,0.9999670082043004,0.005743848509459296,0.008482832243622729
polynomial,standard_11,global_no_q,-0.01653270067829249,1.0082324636105964,1.3147972299663242
polynomial,standard_11,ordinary_symbolic_regression,0.9999638762991768,0.006010299561851579,0.009509490616862683
polynomial,standard_11,raw_q,0.9986476824407451,0.03677387060474956,0.04268993449364282
polynomial,standard_11,support_only_omp_lambda_0.0,0.9999670082043004,0.005743848509459296,0.008482832243622729
polynomial,standard_11,true_basis_lambda_0.0,0.9999701854616386,0.005460269074085267,0.007936326279793519
polynomial,standard_11,true_basis_lambda_inf,0.9999392728189939,0.007792764657431011,0.01116095890366962
relaxation,four_support,direct_target_omp_lambda_0.0,0.9997765544729587,0.014948094428432498,0.0392454104848793
relaxation,four_support,fpca,0.9999424174121996,0.007588319168329298,0.023787506713268222
relaxation,four_support,gird_adam_lambda_0.0,0.9992479302140506,0.027423890787949753,0.052770865153050336
relaxation,four_support,gird_adam_lambda_0.01,0.9997073252211728,0.017107740319141192,0.04972428153318603
relaxation,four_support,gird_adam_lambda_1.0,0.9997045932845247,0.01718739990444581,0.03769839880962432
relaxation,four_support,gird_adam_lambda_inf,0.9995063006670639,0.0222193459160279,0.058940079062667364
relaxation,four_support,gird_adam_selected,0.9998204925491347,0.013398039067909942,0.03461736276231242
relaxation,four_support,gird_gn_lambda_0.0,0.9992479302140506,0.027423890787949753,0.052770865153050336
relaxation,four_support,gird_gn_lambda_0.0001,0.9997038499132269,0.017209011789555653,0.04909195630219568
relaxation,four_support,gird_gn_lambda_1.0,0.9997048488977757,0.0171799622300016,0.03757050312130014
relaxation,four_support,gird_gn_lambda_inf,0.9994961499151661,0.022446605196196807,0.05873039201230744
relaxation,four_support,gird_gn_selected,0.9998266322808808,0.013166917601292146,0.03435461077597177
relaxation,four_support,global_no_q,-0.19077673134080686,1.0912271676148861,2.3501212176266293
