status,dataset,method,seed,source_result,anchor_labels,structure_validation_labels,query_target_leakage_max_q_difference,convex_weight_sum_max_abs_error,convex_min_weight,raw_q_validation_max_abs_z,functional_validation_max_abs_z,convex_reference_nrmse,unconstrained_reference_nrmse,prediction_nrmse_ratio,effective_anchors_median,max_anchor_weight_median
success,nasa_battery_capacity_reviewer_clean_inner0,joint_mse_step1,3,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_mse_step1/seed3_q4_104002a86142/result.json,8,5,0.0,7.676499080844223e-08,2.21153391066764e-06,1.5880462825749238,1.5885917838883072,1.4291804195872768,1.280598282814026,1.116025563025707,1.3188892480954353,0.94096577167511
success,nasa_battery_capacity_reviewer_clean_inner0,joint_mse_step1,4,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner0/joint_mse_step1/seed4_q4_8b811cf7b13c/result.json,8,5,0.0,9.75776401901385e-08,9.226024531017174e-07,1.8037345813419885,1.8739963275374056,1.2236741164460687,0.9174716472625732,1.333745974708974,1.1978753462893108,0.9619367718696594
success,nasa_battery_capacity_reviewer_clean_inner1,joint_mse_step1,0,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner1/joint_mse_step1/seed0_q4_aae01616521a/result.json,8,5,0.0,3.2130628824234015e-08,1.8452355732279105e-07,2.34873304602943,1.9026804392455616,1.172076517712103,0.9519577026367188,1.2312275161655843,1.0003256164525745,0.9999760389328004
success,nasa_battery_capacity_reviewer_clean_inner1,joint_mse_step1,1,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner1/joint_mse_step1/seed1_q4_f6ce3ba35c6f/result.json,8,5,0.0,7.241033017635345e-08,1.84605042363728e-07,1.3215524618306669,1.8021356917206184,0.8219278181953414,0.7085052132606506,1.1600871846979113,1.8052027461495217,0.7409467697143555
success,nasa_battery_capacity_reviewer_clean_inner1,joint_mse_step1,2,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner1/joint_mse_step1/seed2_q4_f8a2a867f237/result.json,8,5,0.0,9.976770343200769e-08,1.84422916049698e-07,1.6307016019883918,1.4765847448030096,0.8494423130651142,0.9080142378807068,0.9354944863504578,1.0003258250494418,0.9999760389328004
success,nasa_battery_capacity_reviewer_clean_inner1,joint_mse_step1,3,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner1/joint_mse_step1/seed3_q4_820b00d29afd/result.json,8,5,0.0,5.7741999626159675e-08,1.8451507344252605e-07,1.8243010849966264,1.7895833066102165,0.7494035762242288,1.0863299369812012,0.6898489590618703,1.00032518176188,0.9999760389328004
success,nasa_battery_capacity_reviewer_clean_inner1,joint_mse_step1,4,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner1/joint_mse_step1/seed4_q4_43f7b3c333e6/result.json,8,5,0.0,1.0625262802932413e-07,1.8490088393718906e-07,2.2027083354013306,1.7367925288214854,0.8177033900648808,0.6592473387718201,1.240359030630696,1.000325722337678,0.9999760389328004
success,nasa_battery_capacity_reviewer_clean_inner2,joint_mse_step1,0,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner2/joint_mse_step1/seed0_q4_c95c82ed4f2e/result.json,8,5,0.0,7.776543498039247e-08,1.841764998289364e-07,2.265571992345146,1.3663909998775436,2.0480866314388657,2.149454355239868,0.952840252897722,1.544473789942097,0.8616507649421692
success,nasa_battery_capacity_reviewer_clean_inner2,joint_mse_step1,1,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner2/joint_mse_step1/seed1_q4_613e58e5873c/result.json,8,5,0.0,8.768404313741486e-08,1.4703822444062098e-06,1.8192238346782303,1.103334156814478,1.844892277021019,1.0725491046905518,1.720100524025239,2.2820364756824243,0.686246395111084
success,nasa_battery_capacity_reviewer_clean_inner2,joint_mse_step1,2,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner2/joint_mse_step1/seed2_q4_edafe672515a/result.json,8,5,0.0,1.0174449016631117e-07,3.4162380870839115e-06,1.6631562161181268,1.6644306452789566,1.4486231069530116,1.539657711982727,0.9408734783574176,3.0686694781410253,0.6614347696304321
success,nasa_battery_capacity_reviewer_clean_inner2,joint_mse_step1,3,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner2/joint_mse_step1/seed3_q4_05e663c407c1/result.json,8,5,0.0,1.0437747732794379e-07,1.8461190620655546e-07,2.044887228495073,1.4089535806337674,1.5223796185829548,0.4684807360172272,3.2496098591489857,1.0003292416481486,0.9999758005142212
success,nasa_battery_capacity_reviewer_clean_inner2,joint_mse_step1,4,runs/nasa_battery_reviewer_clean_inner_q_20260825/nasa_battery_capacity_reviewer_clean_inner2/joint_mse_step1/seed4_q4_e4c6d3fcb586/result.json,8,5,0.0,1.1664815247058868e-07,2.654498757692636e-06,1.9134709647567465,2.124601206914686,1.1774353749997932,0.8378159999847412,1.4053627228666403,2.017074462447752,0.7181093692779541
