fold,label,offset,physical_intercept,physical_linear_temperature,physical_quadratic_temperature
3,6447,2,-0.00533785617060439,2.475419255678607e-05,4.012081710211997e-07
3,6447,3,-0.001831594529559763,-1.7816502899108675e-05,4.875353279151364e-07
3,7529,0,-0.10346721774934856,0.0029069363145522815,-2.224553958621103e-06
3,7529,1,-0.08423724583783598,0.002354863221712877,-4.4003943245243504e-07
3,7529,2,-0.09986733025341932,0.0026459597478615156,-1.2481894072144918e-06
3,7529,3,-0.12541981732808494,0.0030977367684534053,-2.367227140257791e-06
3,11060,0,-0.05520387556477968,0.00012252517722140835,8.680947066334116e-07
3,11060,1,-0.15505874150258633,0.0006348971176593094,2.151168551704256e-07
3,11060,2,-0.1919521605759865,0.000799146922133378,3.368457404235662e-08
3,11060,3,-0.10123841455778618,0.0003496726061764288,5.912807240988302e-07
3,11403,0,0.0026408806309106136,-0.00017279588874984163,2.3856681110712388e-06
3,11403,1,0.002264296099232316,-0.00015849145813519858,2.3237636147154955e-06
3,11403,2,0.002789960722067719,-0.0001607459652326591,2.3153536405766396e-06
3,11403,3,0.003645185714928806,-0.0001845691740347303,2.414305239931008e-06
3,12972,0,-0.0019436769182590075,5.895886180701955e-05,-5.012430595997581e-08
3,12972,1,-0.0021430527858720483,6.083252858048445e-05,-5.535846405318474e-08
3,12972,2,-0.002447218837059978,6.426804880707148e-05,-6.301623700115244e-08
3,12972,3,-0.002751623125473837,6.767371464622944e-05,-7.100697728823646e-08
3,14219,0,-0.2894419475188261,0.0010738228422768462,-4.76376201663752e-07
3,14219,1,-0.2681839123439532,0.0009698387393600003,-3.630505632344155e-07
3,14219,2,-0.3014560118569931,0.0010953984317160035,-4.7611487504086325e-07
3,14219,3,-0.33522733295724094,0.0012210006516703417,-5.876358302740579e-07
3,16609,0,0.013720957826882568,-0.00045326447165899755,3.1636546982170336e-06
3,16609,1,0.015103272854842476,-0.00046536950304790583,3.198240293827374e-06
3,16609,2,0.016849903357133517,-0.0004868235081142325,3.2549290758717507e-06
3,16609,3,0.01919892328817724,-0.0005117509431393969,3.3124581778730553e-06
3,18305,0,0.5641461644710815,-0.0036311512187018804,6.402736289541889e-06
3,18305,1,0.550727416674033,-0.0035613932036993707,6.3149352585105416e-06
3,18305,2,0.5577801876611159,-0.0035992300227710916,6.3668147320596695e-06
3,18305,3,0.5288864259285239,-0.003428476285739828,6.124781029997901e-06
3,20512,0,-0.013739646157427093,0.0006330482686283863,-1.7198151812046994e-06
3,20512,1,-0.016389826130247462,0.0006712176369021508,-1.8278855105132305e-06
3,20512,2,-0.01945423191156373,0.0007083258900961568,-1.9237560580328587e-06
3,20512,3,-0.02294968137586806,0.000756230561225163,-2.065721508475458e-06
3,33847,0,-0.20787309755792102,5.750818294960312e-05,1.4238287407151873e-06
3,33847,1,-0.266848674389228,0.00027844553227035203,1.2168910093667958e-06
3,33847,2,-0.17430024933764007,-0.00014504371694968622,1.6647686363790719e-06
3,33847,3,-0.3391314504904564,0.0004812676337929147,1.0928857994369098e-06
3,45058,0,-0.05896578270800176,-0.0008735485609896145,3.386491706106685e-06
3,45058,1,0.1435963942101987,-0.0017654613953307268,4.299947684038337e-06
3,45058,2,0.03590764853843942,-0.0013258661566827737,3.872905441734228e-06
3,45058,3,-0.08258917778228964,-0.0008547469756838501,3.426131444914849e-06
3,47036,0,-0.01045397639352793,0.00035216244491533346,-3.807271963809891e-07
3,47036,1,-0.01277779576326819,0.0003943240499502915,-5.172143360992966e-07
3,47036,2,-0.01537921611376021,0.0004264769227447626,-6.107569356916169e-07
3,47036,3,-0.015717881496750546,0.00041902870413435456,-5.551089100082948e-07
3,50801,0,-0.012015201478205895,0.0003091518973830679,7.224623763180116e-07
3,50801,1,-0.014631401819337371,0.00035797611579388715,5.547136540977796e-07
3,50801,2,-0.017670433504000677,0.000401200531180923,4.235725174301739e-07
3,50801,3,-0.017368739889391076,0.00037340079051586405,5.613143334435708e-07
4,1652,0,-0.07349306638250291,0.0007643806816132235,-1.1250511788131863e-06
4,1652,1,-0.06228564050151216,0.0006028486210800574,-6.868147815688992e-07
4,1652,2,-0.0765477033603301,0.0007403678284957202,-9.828060796898694e-07
4,1652,3,-0.09543064363198375,0.0009141576416975146,-1.3416754163994433e-06
4,3882,0,-0.010100394838476093,0.0001424265598507702,1.0235444172473428e-06
4,3882,1,-0.0059757901621656645,9.395429439593985e-05,1.1277730867569044e-06
4,3882,2,-0.010522581854688517,0.0001381032078809078,1.0454350926793344e-06
4,3882,3,-0.012188250694878985,0.00015335285112714082,1.013711641077287e-06
4,5843,0,-0.002534481229932467,8.784655683372359e-05,2.3478852928482823e-06
4,5843,1,-0.004758218884587662,0.00017860017870075353,1.86412938722573e-06
4,5843,2,-0.005506603930465925,0.00020545698837707866,1.7214353201559258e-06
4,5843,3,-0.0024955451573646925,7.002912508610694e-05,2.527933948525173e-06
4,7097,0,0.0028755331145828844,-9.278095062427829e-05,1.2876384386971827e-06
4,7097,1,0.0026436711239293392,-8.016634295348246e-05,1.2359698114900574e-06
4,7097,2,0.003672659054909877,-0.00010369437842285131,1.3250034969149372e-06
4,7097,3,0.003002943358122165,-9.055106054939234e-05,1.283416658664344e-06
4,7891,0,-0.08593161014469167,0.0017106806362779843,2.855177254187856e-06
4,7891,1,-0.11471804956809187,0.002138066295367525,1.6576553642375088e-06
4,7891,2,-0.15771236583442788,0.0027361795428297257,3.129638089004956e-08
4,7891,3,-0.11427078772961902,0.0018501901515681081,2.957610894084374e-06
4,11075,0,-0.003643828084144436,0.0004619232162731859,-7.445586161222602e-07
4,11075,1,-0.003993279351093247,0.00046134046512681263,-7.324812679934696e-07
4,11075,2,-0.005084950903452193,0.0004713706722560991,-7.499676442363333e-07
4,11075,3,-0.004968324307677262,0.0004670772257798479,-7.335480356854886e-07
4,11621,0,-0.050535669917417786,0.00038129149681254354,2.463942460557506e-06
4,11621,1,-0.028567476648039658,7.635656879361212e-05,3.4124166779135246e-06
4,11621,2,-0.01951286860840412,-3.446131042937834e-05,3.7221998605890894e-06
4,11621,3,-0.030536104403277364,9.259094608485546e-05,3.4036224791977087e-06
4,13322,0,-0.00207876348328522,7.49317872573086e-05,-9.26116309017408e-08
4,13322,1,-0.002477300674825271,8.00894868447831e-05,-1.0730096012720717e-07
4,13322,2,-0.0027117713534115656,8.284022213415802e-05,-1.1388695685986485e-07
4,13322,3,-0.003279414651078779,9.018845299656621e-05,-1.3435040055074398e-07
4,15081,0,-0.0004967903392917132,1.414997203800242e-05,1.217663733688571e-07
4,15081,1,-0.0005697673965388873,1.5150977057802831e-05,1.2007554498356707e-07
4,15081,2,-0.0005530181393985506,1.3543562098986445e-05,1.2538307382665035e-07
4,15081,3,-0.0007848585870721368,1.718143855443311e-05,1.1580420772656601e-07
4,16611,0,0.007094372565682877,-0.00031853880869026855,2.6612670544193846e-06
4,16611,1,0.008546513365429081,-0.0003435497755962143,2.7611821810997203e-06
4,16611,2,0.009554164331409293,-0.0003518638706166814,2.7826798259281982e-06
4,16611,3,0.009765131380353814,-0.0003461968669098883,2.7189058316643966e-06
4,18306,0,-0.02811465092411203,6.82841155946458e-05,3.5333983365083914e-07
4,18306,1,0.03213717958050123,-0.00023575624213960375,7.329880941486408e-07
4,18306,2,0.0354090026184407,-0.00025105484939755485,7.500714849424984e-07
4,18306,3,0.04817607941872823,-0.00031609264569956047,8.310060155103604e-07
4,20574,0,3.1836768923617417e-06,5.438301947910236e-07,1.3427170618723627e-08
4,20574,1,-1.2036064847599504e-06,6.61637551893442e-07,1.285107739967296e-08
4,20574,2,1.1611003552956453e-06,6.186652736777308e-07,1.3026356795608983e-08
4,20574,3,1.4907604042376649e-06,6.039633925246512e-07,1.3163239363533369e-08
4,35958,0,-0.03695388033269703,0.0008260921695826553,-2.7021629880697407e-07
4,35958,1,-0.044714613777477125,0.0008797731097638372,-3.7555070972278097e-07
4,35958,2,-0.05015314203019977,0.0009363943296474614,-5.062061591288324e-07
4,35958,3,-0.059568026911200216,0.001039903546642013,-7.122911252476365e-07
4,45060,0,-0.7923196404444955,0.00251888549982747,5.085874390552776e-07
4,45060,1,-0.8991376988438147,0.0029329456350431792,1.262269111189174e-07
4,45060,2,-0.9926746664604811,0.0032830865678759387,-1.9014208455246413e-07
4,45060,3,-0.9115115547181493,0.00289440765804794,2.304560056069206e-07
4,47038,0,-0.026963464198484555,0.0010838569291085226,-1.3641326060394411e-06
4,47038,1,-0.03235011827146146,0.0011661130875679532,-1.6253985991841323e-06
4,47038,2,-0.03797684372536954,0.0012492489149857834,-1.8731623858862797e-06
4,47038,3,-0.04271358729983554,0.0013145293005367268,-2.0663650831554567e-06
4,84085,0,0.9118778895315849,-0.007667320583358739,1.9538193883091092e-05
4,84085,1,1.0220172491017423,-0.009526448588055425,2.499117087356734e-05
