prior_weight,support_selection_loss_median,support_selection_loss_mean,meta_query_nrmse_median,meta_query_nrmse_mean,dataset,seed
0.0,0.0113313724286854,0.0705681641120463,0.0834820978343486,0.1305744000710547,nasa_battery_capacity_reviewer_clean_inner2,2
0.001,0.011331083253026,0.0706815875237225,0.0831875950098037,0.1315358974970877,nasa_battery_capacity_reviewer_clean_inner2,2
0.01,0.0113561768084764,0.0713772445596987,0.0816910713911056,0.1325650182552635,nasa_battery_capacity_reviewer_clean_inner2,2
0.1,0.0137115214020013,0.0756813310581492,0.0943724028766155,0.1496167262084782,nasa_battery_capacity_reviewer_clean_inner2,2
1.0,0.0155772329308092,0.0789654368491028,0.0818131938576698,0.1590138678438961,nasa_battery_capacity_reviewer_clean_inner2,2
0.0,0.0149099170230329,0.053619016893208,0.072349164634943,0.1312600914388895,nasa_battery_capacity_reviewer_clean_inner2,3
0.001,0.0149141810834407,0.0535610566512332,0.0722188465297222,0.1321807447820902,nasa_battery_capacity_reviewer_clean_inner2,3
0.01,0.0149215455166995,0.0535290846382849,0.0737289078533649,0.1323305871337652,nasa_battery_capacity_reviewer_clean_inner2,3
0.1,0.014905409887433,0.053460906172404,0.088449902832508,0.1351066539064049,nasa_battery_capacity_reviewer_clean_inner2,3
1.0,0.0152147528715431,0.0581347674087737,0.0984694696962833,0.1637641359120607,nasa_battery_capacity_reviewer_clean_inner2,3
0.0,0.0143084023147821,0.0580336728016845,0.1837266981601715,0.1847216612659394,nasa_battery_capacity_reviewer_clean_inner2,4
0.001,0.0143018444068729,0.0578376143894274,0.1839837580919265,0.1846329122781753,nasa_battery_capacity_reviewer_clean_inner2,4
0.01,0.0142739065922796,0.0579504630659357,0.152378499507904,0.1760442429222166,nasa_battery_capacity_reviewer_clean_inner2,4
0.1,0.014024811796844,0.0585924730330589,0.1629879996180534,0.1920577501878142,nasa_battery_capacity_reviewer_clean_inner2,4
1.0,0.0187293803319335,0.0608545265131397,0.113129086792469,0.1742271431721747,nasa_battery_capacity_reviewer_clean_inner2,4
