label,split,q1,q2,q3,q4,calibration_selected_start,calibration_selection_loss,calibration_candidate_q_dispersion,calibration_inner_selection_used,calibration_refinement_used,calibration_fit_rows,calibration_selection_rows,calibration_extra_candidate_available,calibration_selected_extra_candidate,capacity_cycle1,early_fade_rate,response_cycle1,response_cycle10,response_cycle20,response_cycle28,prior_weight,dataset,seed
B0033,meta_fit,-0.0447108894586563,-0.0122709590941667,0.1346019953489303,0.0920604467391967,3.0,0.275586187839508,0.0020865215919911,1.0,1.0,42.0,15.0,0.0,0.0,1.0345075130462646,-0.0583816096186637,1.0345075130462646,1.5599420070648191,1.6141953468322754,1.6231170892715454,0.01,nasa_battery_capacity_reviewer_clean_inner2,1
B0040,meta_fit,0.1411944329738617,0.0998520627617836,-0.2298764884471893,0.2323773950338363,0.0,0.0106626665219664,0.574168860912323,0.0,0.0,14.0,14.0,0.0,0.0,0.7326796650886536,-0.0021873514633625,0.7326796650886536,0.7523658275604248,0.7080839276313782,0.6605346202850342,0.01,nasa_battery_capacity_reviewer_clean_inner2,1
B0005,meta_fit,-0.4396253228187561,-0.0338848233222961,-0.0190109107643365,-0.2307988703250885,3.0,0.0031393689569085,0.2691461741924286,1.0,1.0,37.0,13.0,0.0,0.0,1.855554699897766,0.003370854537934,1.855554699897766,1.8252170085906985,1.8166383504867556,1.8079077005386357,0.1,nasa_battery_capacity_reviewer_clean_inner2,1
B0006,meta_fit,-0.4428183734416961,-0.2281865924596786,-0.0398782081902027,-0.2150365263223648,1.0,0.0057992856018245,0.4930586814880371,1.0,1.0,37.0,13.0,0.0,0.0,2.019295454025269,0.0071430075913667,2.019295454025269,1.9550083875656128,1.914205551147461,1.8830103874206543,0.1,nasa_battery_capacity_reviewer_clean_inner2,1
B0026,meta_fit,-0.3300690054893493,-0.1446377336978912,0.0556113682687282,-0.5706932544708252,3.0,0.3334346413612366,0.3022618889808655,0.0,0.0,8.0,8.0,0.0,0.0,1.753217697143555,-0.0015629132976755,1.753217697143555,1.767283916473389,1.7852703332901,1.827065706253052,0.1,nasa_battery_capacity_reviewer_clean_inner2,1
B0028,meta_fit,-0.3844718933105469,-0.0640181601047515,-0.5050950050354004,-0.2787782847881317,1.0,0.0005684267962351,0.2691982090473175,0.0,0.0,8.0,8.0,0.0,0.0,1.8048937320709229,0.0024885470047593,1.8048937320709229,1.7824968099594116,1.7724930047988892,1.74576735496521,0.1,nasa_battery_capacity_reviewer_clean_inner2,1
B0030,meta_fit,-0.3490426242351532,-0.1535179913043975,0.0284811444580554,0.0385337397456169,1.0,0.0121143106371164,0.3312461674213409,0.0,0.0,12.0,12.0,0.0,0.0,1.7258362770080566,0.0008932616910897,1.7258362770080566,1.7177969217300415,1.6671512126922607,1.625482201576233,0.1,nasa_battery_capacity_reviewer_clean_inner2,1
B0031,meta_fit,-0.3559530079364776,0.0152122424915432,-0.0112561788409948,-0.2638625800609588,3.0,0.0236309170722961,0.225041389465332,0.0,0.0,12.0,12.0,0.0,0.0,1.7785509824752808,-0.0007843706407584,1.7785509824752808,1.785610318183899,1.7576215267181396,1.7324753999710083,0.1,nasa_battery_capacity_reviewer_clean_inner2,1
B0033,meta_fit,-0.0560963898897171,-0.0090751564130187,0.133891761302948,0.0575028620660305,0.0,0.4140117168426513,0.0071946498937904,1.0,1.0,42.0,15.0,0.0,0.0,1.0620588064193726,-0.0542714595794677,1.0620588064193726,1.5505019426345823,1.619542121887207,1.6263877153396606,0.1,nasa_battery_capacity_reviewer_clean_inner2,1
B0040,meta_fit,0.1413835287094116,0.096473604440689,-0.1672068834304809,0.2713256478309631,0.0,0.0112561220303177,0.5288437604904175,0.0,0.0,14.0,14.0,0.0,0.0,0.7264832854270935,-0.0034266246948391,0.7264832854270935,0.7573229074478149,0.7137383222579956,0.666153073310852,0.1,nasa_battery_capacity_reviewer_clean_inner2,1
