regime,method,candidate_id,selected,expression_family,lambda,expected_query_rows,prediction_rows,finite_prediction_rows,coverage_complete,entity_count,finite_entity_count,physical_r2,rmse,mae,median_entity_nrmse,p90_entity_nrmse,p95_entity_nrmse,max_entity_nrmse,entity_r2_ge_0_85_count,entity_r2_finite_count,negative_prediction_count,negative_prediction_fraction,sse,sse_top1_fraction,sse_top3_fraction,sse_top5_fraction
four_support,expression,cubic_t__lambda_1e-06,False,cubic_t,1e-06,22754,22754,22754,True,247,247,-1.4837066916779054,1294.0303103264814,75.57193341954537,0.06290785850526848,0.3507971431560898,0.6304554230893264,2.90464451816571,227,247,386,0.016964050276874396,38101901659.76921,0.9171536099034961,0.9990140216016178,0.9998957485149373
four_support,expression,cubic_t__lambda_1e-08,False,cubic_t,1e-08,22754,22754,22754,True,247,247,-1.4841976196736693,1294.15819264042,75.97561160680304,0.06288957787002236,0.35706817832551124,0.6534232005036874,2.904384763311334,226,247,392,0.0172277401775512,38109432859.117065,0.9170624396729081,0.9988923830818426,0.9998673969221203
four_support,expression,linear_t__lambda_0,False,linear_t,0.0,22754,22754,22754,True,247,247,-1.7068368461513819,1350.9066361576004,109.58869546161384,0.15399887173484053,0.42693257390345685,0.6130682634199077,4.298799745498146,215,247,322,0.014151358002988485,41524883621.19159,0.8856099784778998,0.9979259243570734,0.9998024627545978
four_support,expression,linear_t__lambda_0.0001,False,linear_t,0.0001,22754,22754,22754,True,247,247,-1.7067678535251916,1350.889419901918,109.5870564450329,0.15400570878471265,0.4269260302883168,0.6130639826648743,4.298733586348236,215,247,322,0.014151358002988485,41523825223.16611,0.8856100398906938,0.9979258958548425,0.9998024707270655
four_support,expression,linear_t__lambda_0.01,False,linear_t,0.01,22754,22754,22754,True,247,247,-1.699965123308795,1349.1908040580895,109.4281268126638,0.15395045618421418,0.426287380471874,0.612645576371659,4.292205522855887,215,247,315,0.013843719785532215,41419466299.22731,0.8856160935453494,0.9979230107484159,0.999803196014706
four_support,expression,linear_t__lambda_1,False,linear_t,1.0,22754,22754,22754,True,247,247,-1.223137246245162,1224.2706349762425,108.27594666981446,0.22712785088475929,0.45436811468304716,0.5737796327336415,3.8089469076724765,206,247,68,0.0029884855410037795,34104573223.732407,0.8859992140095588,0.9974710706334329,0.9993817921979053
four_support,expression,linear_t__lambda_1e-06,False,linear_t,1e-06,22754,22754,22754,True,247,247,-1.7068361561974865,1350.906463989234,109.58867906856693,0.1539989400904633,0.4269325084581124,0.6130682206069478,4.298799083884894,215,247,322,0.014151358002988485,41524873036.787415,0.8856099790920542,0.9979259240721148,0.9998024628343869
four_support,expression,linear_t__lambda_1e-08,False,linear_t,1e-08,22754,22754,22754,True,247,247,-1.7068368392518414,1350.9066344359164,109.58869529768339,0.15399887241839813,0.42693257324900774,0.6130682629917784,4.29879973888201,215,247,322,0.014151358002988485,41524883515.34753,0.8856099784840415,0.9979259243542239,0.9998024627553959
four_support,expression,quadratic_t__lambda_0,False,quadratic_t,0.0,22754,22754,22754,True,247,247,-1.9182722388935312,1402.6754541542307,95.49698117980476,0.07954538105363443,0.290058262252605,0.47319137985657117,3.707901120854948,231,247,793,0.03485101520611761,44768459269.092926,0.9018383408687702,0.9984897599092941,0.9999138987244199
four_support,expression,quadratic_t__lambda_0.0001,False,quadratic_t,0.0001,22754,22754,22754,True,247,247,-1.9165880528435908,1402.2706414468785,95.45855630358977,0.07951785500158481,0.28982856526229517,0.4728927705467864,3.7078310467186477,231,247,791,0.03476311857255867,44742622606.70981,0.9018140607487504,0.9984888324815171,0.9999137369931124
four_support,expression,quadratic_t__lambda_0.01,False,quadratic_t,0.01,22754,22754,22754,True,247,247,-1.7868733121446883,1370.7331269840045,92.91739847931798,0.08775183240280532,0.2895582437579198,0.4600596058375043,3.7029570586747274,230,247,613,0.026940318185813484,42752702335.329796,0.8996538510731805,0.9984130731515037,0.9998999942813878
