family,seed,method,gauge_id,condition_number,query_response_max_abs_difference,functional_prediction_max_abs_difference,functional_coordinate_max_abs_difference,raw_q_max_abs_change
relaxation,4,mapped_start_adam,3,5.98555802497159,0.048509582049439004,0.04565541277760854,0.35741394044220964,1.4555631080189186
relaxation,4,mapped_start_adam,4,3.4131421018341035,0.03066067667621497,0.03189741688272196,0.26659632871925654,1.5832887957916009
relaxation,4,response_metric_gauss_newton,0,4.75885734317324,3.552713678800501e-15,2.220446049250313e-15,4.218847493575595e-15,1.6340015780524162
relaxation,4,response_metric_gauss_newton,1,2.227151137948889,2.886579864025407e-15,2.9976021664879227e-15,5.773159728050814e-15,1.0876373032462099
relaxation,4,response_metric_gauss_newton,2,2.98302973604984,2.886579864025407e-15,2.7200464103316335e-15,3.9968028886505635e-15,1.6396319089874718
relaxation,4,response_metric_gauss_newton,3,5.98555802497159,3.1086244689504383e-15,2.9976021664879227e-15,4.218847493575595e-15,1.7129205905140836
relaxation,4,response_metric_gauss_newton,4,3.4131421018341035,3.1086244689504383e-15,2.6645352591003757e-15,4.884981308350689e-15,1.5920545492013494
thermodynamic_chart,0,mapped_start_adam,0,2.9927027134601363,0.005032004007406998,0.0038500602729092392,0.12963942900933656,0.9260504504838327
thermodynamic_chart,0,mapped_start_adam,1,4.891881984213748,0.006093479588081208,0.005144193615732706,0.18943815363413719,1.476000346492346
thermodynamic_chart,0,mapped_start_adam,2,5.598362775423673,0.010462561683836746,0.009058338109786623,0.3386345191396405,0.5776861424996962
thermodynamic_chart,0,mapped_start_adam,3,3.175180316847874,0.015208448922033768,0.010488120726515393,0.337209697789538,0.9102248476627005
thermodynamic_chart,0,mapped_start_adam,4,5.634134873713808,0.004485070015133208,0.0035480322558298916,0.1229155889901011,1.9812490039779513
thermodynamic_chart,0,response_metric_gauss_newton,0,2.9927027134601363,6.404599073306372e-15,6.598888102615774e-15,1.7791323969618134e-14,2.9603643898920646
thermodynamic_chart,0,response_metric_gauss_newton,1,4.891881984213748,4.2049697057677804e-15,4.6004866582904924e-15,1.9095836023552692e-14,4.904141799933375
thermodynamic_chart,0,response_metric_gauss_newton,2,5.598362775423673,2.1760371282653068e-14,1.9539925233402755e-14,3.4389158187764224e-14,4.835842568788981
