label,split,q1,q2,q3,q4,calibration_selected_start,calibration_selection_loss,calibration_candidate_q_dispersion,calibration_inner_selection_used,calibration_refinement_used,calibration_fit_rows,calibration_selection_rows,calibration_extra_candidate_available,calibration_selected_extra_candidate,capacity_cycle1,early_fade_rate,response_cycle1,response_cycle10,response_cycle20,response_cycle28,prior_weight,dataset,seed
B0028,meta_fit,-0.3677972853183746,-0.0139009496197104,-0.4362105429172516,-0.289150983095169,1.0,0.0005154646933078,0.1727640181779861,0.0,0.0,8.0,8.0,0.0,0.0,1.8055189847946167,0.002347124973312,1.8055189847946167,1.7843948602676392,1.7785227298736572,1.7662521600723269,1.0,nasa_battery_capacity_reviewer_clean_inner2,1
B0030,meta_fit,-0.3439514636993408,-0.122866190969944,-0.2574298977851867,-0.2837859094142914,2.0,0.0132325766608119,0.3156668841838836,0.0,0.0,12.0,12.0,0.0,0.0,1.7375296354293823,0.0026834541931748,1.7375296354293823,1.7133785486221311,1.6681536436080933,1.6350889205932615,1.0,nasa_battery_capacity_reviewer_clean_inner2,1
B0031,meta_fit,-0.3561344146728515,0.0159063749015331,-0.0125088365748524,-0.2645761966705322,3.0,0.0236391872167587,0.1953952461481094,0.0,0.0,12.0,12.0,0.0,0.0,1.7785208225250244,-0.0007714165840297,1.7785208225250244,1.785463571548462,1.7575799226760864,1.7323830127716064,1.0,nasa_battery_capacity_reviewer_clean_inner2,1
B0033,meta_fit,-0.160659983754158,0.0917184874415397,-0.133420780301094,-0.0141341295093297,1.0,0.5116309523582458,0.1295979470014572,1.0,1.0,42.0,15.0,0.0,0.0,1.2418675422668457,-0.0262573566287755,1.2418675422668457,1.4781837463378906,1.613773226737976,1.6204748153686523,1.0,nasa_battery_capacity_reviewer_clean_inner2,1
B0040,meta_fit,0.1964003592729568,-0.0933840200304985,0.7638396620750427,0.116164706647396,1.0,0.0184618066996336,0.3180035054683685,0.0,0.0,14.0,14.0,0.0,0.0,0.7145567536354065,-0.0066058505326509,0.7145567536354065,0.7740094065666199,0.7568013668060303,0.7173824906349182,1.0,nasa_battery_capacity_reviewer_clean_inner2,1
B0005,meta_fit,-0.2137800306081771,-0.1692263633012771,0.0927125886082649,-0.1694321483373642,0.0,0.0013192250626161,0.0451138950884342,1.0,1.0,37.0,13.0,0.0,0.0,1.8598792552948,0.0033953455276787,1.8598792552948,1.8293211460113523,1.8191142082214355,1.8205150365829468,0.0,nasa_battery_capacity_reviewer_clean_inner2,2
B0006,meta_fit,-0.1285799145698547,-0.2171138226985931,0.0509492270648479,-0.281796246767044,3.0,0.0127587430179119,0.099584124982357,1.0,1.0,37.0,13.0,0.0,0.0,2.01887845993042,0.0068055260926485,2.01887845993042,1.9576287269592283,1.9126579761505127,1.881150245666504,0.0,nasa_battery_capacity_reviewer_clean_inner2,2
B0026,meta_fit,-0.0536993779242038,-0.0373036116361618,0.121985524892807,-0.491656094789505,3.0,0.3277310132980346,0.103165291249752,0.0,0.0,8.0,8.0,0.0,0.0,1.7617533206939695,0.0002254909923067,1.7617533206939695,1.7597239017486572,1.777247428894043,1.780911207199097,0.0,nasa_battery_capacity_reviewer_clean_inner2,2
B0028,meta_fit,-0.1610519886016845,-0.2915543913841247,0.1822338253259658,-0.2101083546876907,1.0,0.0005630169762298,0.1820559799671173,0.0,0.0,8.0,8.0,0.0,0.0,1.80747652053833,0.0031801727600395,1.80747652053833,1.7788549661636353,1.7718790769577026,1.779978632926941,0.0,nasa_battery_capacity_reviewer_clean_inner2,2
B0030,meta_fit,-0.2123382240533828,-0.1369584798812866,0.0181332230567932,-0.0357054248452186,0.0,0.0098037300631403,0.1703582555055618,0.0,0.0,12.0,12.0,0.0,0.0,1.7119747400283811,-0.0009213553275913,1.7119747400283811,1.7202669382095337,1.664737582206726,1.623835802078247,0.0,nasa_battery_capacity_reviewer_clean_inner2,2
B0031,meta_fit,-0.2092691361904144,0.0935626849532127,0.2984985709190368,-0.4045333564281463,2.0,0.0245599932968616,0.2974204123020172,0.0,0.0,12.0,12.0,0.0,0.0,1.7791590690612793,-0.0011845297412946,1.7791590690612793,1.789819836616516,1.7827643156051636,1.7687028646469116,0.0,nasa_battery_capacity_reviewer_clean_inner2,2
