dataset,prepared_summary,method,loss_preset,seed,q_dim,epochs,cal_steps,cal_init_mode,cal_num_starts,cal_selection_ratio,cal_selection_min_rows,cal_refine_steps,cal_refine_only_after_selection,support_ratio,support_split_mode,support_order_column,batch_size,hidden_sizes,max_train_per_label,max_test_per_label,subsample_seed,q_training_split_mode,train_rows,test_rows,train_labels,test_labels,support_rows,query_rows,macro_mse,macro_rmse,macro_mae,macro_nrmse,macro_r2,reference_mse,reference_rmse,reference_mae,reference_nrmse,response_continuity_auc,response_trustworthiness_auc,response_knn_overlap_auc,response_distance_stress,response_distance_pearson,response_distance_spearman,response_local_log_distortion_mean,response_local_log_distortion_median,response_local_log_distortion_p95,response_local_collapse_rate,response_local_tear_rate,acquisition_distance_stress,acquisition_distance_pearson,acquisition_distance_spearman,effective_rank,wall_time_seconds,result_path
nasa_battery_capacity_reviewer_clean_inner1,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_continuity_step1,continuity,0,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,716,475,8,5,141,334,0.09535303355681657,0.2043950068153185,0.16302711650359025,1.2475958768886795,-1.5714655549324146,0.17694743000059893,0.4206511975504158,0.28355027182016546,1.9036616939946027,0.5,0.4,0.2,0.3875112146473902,0.10363656438435662,0.01818181818181818,0.35091660311283995,0.2716047285668639,0.8121553304663661,0.1,0.0,0.3597803728427456,0.22363833083726378,0.2727272727272727,1.793957596357591,20.923725608037785,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed0_q4_6010043cf6cb/result.json
nasa_battery_capacity_reviewer_clean_inner1,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_continuity_step1,continuity,1,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,716,475,8,5,141,334,0.0592402580751449,0.18337265638637076,0.1449526434976098,1.3905424259014911,-1.2901960408587176,0.10629233306029358,0.3260250497435643,0.2375634957751828,1.4754300049392424,0.6333333333333333,0.5666666666666667,0.45,0.3755399096422056,0.34964899456468157,0.29696969696969694,0.4638820449397761,0.3085889483699511,1.301438619073625,0.2,0.0,0.30279027467884573,0.6972841235358342,0.6121212121212121,2.177593191492233,18.497477994998917,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed1_q4_dfc59665ae57/result.json
nasa_battery_capacity_reviewer_clean_inner1,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_continuity_step1,continuity,2,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,716,475,8,5,141,334,0.03595288513747245,0.149436686176441,0.11183404576313767,1.3999525414588525,-1.4683728289497373,0.05654546510004635,0.23779290380506807,0.15983994537127946,1.0761344427723811,0.5666666666666667,0.6,0.4,0.38936032022426664,0.18841091652903014,0.24848484848484845,0.3850206659449625,0.218234763884328,0.8889771368358025,0.1,0.1,0.36275758092716515,0.3081520425411223,0.33333333333333326,1.998276317973523,19.007171652046964,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed2_q4_debe082b341a/result.json
nasa_battery_capacity_reviewer_clean_inner1,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_continuity_step1,continuity,3,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,716,475,8,5,141,334,0.032837954367587185,0.13660461050349318,0.09871970488171027,1.240611300230637,-0.9337472378638262,0.05311050803854484,0.2304571718097418,0.1471818040409488,1.0429365056733442,0.5333333333333333,0.6,0.4,0.4961369750736004,0.21321713490786778,0.2121212121212121,0.5965061190487828,0.6765265169153907,1.2756572334719305,0.4,0.1,0.48891234014805207,0.2419384628665358,0.34545454545454546,1.34558913527013,19.160496379015967,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed3_q4_4ab4aa152d78/result.json
nasa_battery_capacity_reviewer_clean_inner1,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_continuity_step1,continuity,4,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,716,475,8,5,141,334,0.07893920181682348,0.18972569029832373,0.15965213946072726,1.2426968928352593,-1.2550960476448543,0.14029730941914537,0.37456282439551497,0.24732435722194032,1.695088246386627,0.6666666666666667,0.6666666666666667,0.5,0.3560870323429204,0.5540491718520949,0.38181818181818183,0.4352473305244443,0.2871203499100596,1.2813765487495843,0.2,0.0,0.3111988409623808,0.7744126867030423,0.5515151515151515,2.036552994673306,18.54622082109563,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_continuity_step1/seed4_q4_935a504d66cd/result.json
nasa_battery_capacity_reviewer_clean_inner1,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_mse_step1,mse,0,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,716,475,8,5,141,334,0.03666216918019856,0.14638108746447742,0.1197139314288352,1.1493472421376276,-0.48899356961783746,0.060067499517828644,0.2450867183627637,0.17478173230579513,1.1091426820391224,0.8333333333333334,0.8,0.7,0.41105434988116085,0.38769995992594064,0.5030303030303029,0.49194360766754625,0.23397616705408347,1.3998823947089678,0.3,0.0,0.38283706015725755,0.5358531565523056,0.309090909090909,1.759382042657922,14.62653398909606,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_mse_step1/seed0_q4_872577a98b2c/result.json
nasa_battery_capacity_reviewer_clean_inner1,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_mse_step1,mse,1,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,716,475,8,5,141,334,0.017760797978503835,0.1038657453401195,0.061196633871596774,0.8210415149990183,0.1516796864845846,0.021611422863982543,0.147008240802965,0.08030224533495076,0.6652874361176586,0.5666666666666667,0.6333333333333333,0.35,0.3750302073251778,0.3330368147315304,0.309090909090909,0.38381916626783164,0.32617537765963883,0.76782278283178,0.2,0.0,0.3674843738771476,0.35885277625050277,0.4787878787878787,1.5241429984235102,15.177083545131609,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_mse_step1/seed1_q4_75628946c3d0/result.json
nasa_battery_capacity_reviewer_clean_inner1,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_mse_step1,mse,2,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,716,475,8,5,141,334,0.023289345026857804,0.12068865515354257,0.09173262089420188,1.2478187825050644,-1.4029651536617949,0.0363445499686525,0.1906424663307011,0.1174719618287629,0.8627546112213671,0.8,0.7666666666666667,0.6499999999999999,0.23799563699153806,0.6571335079744867,0.7212121212121211,0.2610830472040691,0.17051329833206624,0.7339591890914697,0.1,0.0,0.211754800023042,0.7693286574247135,0.49090909090909085,2.5109324593450975,14.345095293829218,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_mse_step1/seed2_q4_894510617630/result.json
nasa_battery_capacity_reviewer_clean_inner1,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_mse_step1,mse,3,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,716,475,8,5,141,334,0.04151997206807946,0.14774143662438682,0.1210454340087731,1.1353484105536258,-0.8447072498506586,0.0702331368958134,0.26501535218891265,0.18060156194392793,1.1993299370603991,0.5666666666666667,0.5666666666666667,0.35,0.48711661417114577,0.3293374095950294,0.28484848484848485,0.6126443239299358,0.4908073677040272,1.4016349383045916,0.4,0.0,0.4447399333309942,0.5655059497415177,0.5757575757575757,1.6624259680650044,14.93534062197432,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_mse_step1/seed3_q4_bc267b8c43e3/result.json
nasa_battery_capacity_reviewer_clean_inner1,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_mse_step1,mse,4,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,716,475,8,5,141,334,0.037089394329526446,0.149204048615376,0.12321318758206457,1.2075585404177658,-1.006473087250875,0.056984672134257085,0.23871462488556724,0.1682057920508756,1.0803057018195714,0.7000000000000001,0.7333333333333334,0.55,0.3992709064024684,0.3907259895233173,0.4545454545454545,0.48457723778497436,0.3783067215751975,1.2586754924906882,0.2,0.0,0.342175162001151,0.6752888010327496,0.5030303030303029,1.712771735688563,14.623168065911159,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner1/prefix_q_mse_step1/seed4_q4_a09855e1979f/result.json
nasa_battery_capacity_reviewer_clean_inner2,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_mse_step1,mse,0,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,711,480,8,5,143,337,0.12680501338542338,0.25871395078001397,0.22650150690894177,3.2226023858782655,-15.40040560776293,0.23612644491032916,0.48592843599683394,0.3926182995917889,1.9708494911069245,0.6000000000000001,0.6666666666666667,0.45,0.2691441266617,0.38835630444995284,0.22424242424242422,0.23694623097987205,0.20002463831288886,0.6502324438705861,0.1,0.0,0.2720461699641301,0.3619691593660886,0.33333333333333326,2.4778846671693353,15.897040548035875,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_mse_step1/seed0_q4_a2af1c6bc7a0/result.json
nasa_battery_capacity_reviewer_clean_inner2,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_mse_step1,mse,1,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,711,480,8,5,143,337,0.04966399723974383,0.2011704264917567,0.18573307471651107,2.8993302655651165,-8.353487666112702,0.0667471807118296,0.25835475747860653,0.22527551297264212,1.047846358810502,0.5666666666666667,0.4666666666666667,0.4,0.24725807068503175,0.04843458062597741,0.07878787878787878,0.21237083136453921,0.18944038589009116,0.47500505853675234,0.0,0.0,0.2526750846911322,-0.0515494799086897,-0.0303030303030303,2.731230424053403,16.110777500784025,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_mse_step1/seed1_q4_08519e66dc27/result.json
nasa_battery_capacity_reviewer_clean_inner2,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_mse_step1,mse,2,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,711,480,8,5,143,337,0.06744226739464007,0.23218407946341127,0.20531787449304337,4.300501505458009,-26.218051712969924,0.10536803200840049,0.32460442388914,0.27547658550986903,1.3165446107729664,0.6000000000000001,0.6000000000000001,0.45,0.37565762695116467,-0.01900445840123647,0.01818181818181818,0.4107950996497977,0.3332659686505711,0.8940510880383987,0.2,0.0,0.3977904093055258,-0.2605348302180791,-0.2727272727272727,2.328293537657682,17.872182925930247,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_mse_step1/seed2_q4_bfc69a8ea90f/result.json
nasa_battery_capacity_reviewer_clean_inner2,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_mse_step1,mse,3,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,711,480,8,5,143,337,0.044433583616798694,0.1804194368119012,0.15160268645082237,2.6071012659630184,-6.4607362755437405,0.0741648498841299,0.2723322417271409,0.22518069224117063,1.1045368417654005,0.6333333333333333,0.4666666666666667,0.45,0.3357427578029966,0.1457240816387593,0.05454545454545454,0.32775077720299506,0.2852330161316985,0.6608640679988896,0.0,0.0,0.3500216348125968,0.00016840665330042178,-0.13939393939393938,2.203742949745068,16.29644576809369,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_mse_step1/seed3_q4_eec6056d3069/result.json
nasa_battery_capacity_reviewer_clean_inner2,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_mse_step1,mse,4,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,711,480,8,5,143,337,0.10637073080276652,0.26541735929050275,0.22546463400677785,3.28555269632622,-12.65380073833003,0.16179945864045603,0.40224303429699815,0.31443397740581974,1.6314346325900326,0.5,0.33333333333333337,0.25,0.2813077974077572,0.03267570684216813,-0.12727272727272726,0.25217959122101896,0.18228310993797003,0.6507816202611315,0.1,0.0,0.2823220659770014,-0.018071434433914894,-0.0303030303030303,2.5418972451759543,17.073993139900267,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_mse_step1/seed4_q4_5c0b942457ac/result.json
nasa_battery_capacity_reviewer_clean_inner2,data/real_datasets2/prepared/nasa_battery_reviewer_clean_20260825/inner_prepared_datasets.json,prefix_q_continuity_step1,continuity,0,4,1000,200,prior_random,4,0.25,24,50,True,0.3,prefix,discharge_index,256,"256,128",0,0,20260825,prefix,711,480,8,5,143,337,0.08130562467956556,0.21489986987570373,0.19555804692883955,2.8735297568065454,-9.402837000037227,0.14081124891322094,0.3752482497137341,0.29967674692589735,1.5219480219755972,0.43333333333333335,0.43333333333333335,0.2,0.4386693403381683,0.1897290508103074,-0.11515151515151514,0.47312301320935546,0.4699488038378553,0.9351905276780098,0.3,0.0,0.46495462773054785,-0.0532512456689837,-0.18787878787878787,1.5320354906559415,19.179788996931165,runs/nasa_prefix_q_training_pilot_20260826/nasa_battery_capacity_reviewer_clean_inner2/prefix_q_continuity_step1/seed0_q4_ed54c9bbdf36/result.json
